epoch,train_loss,val_loss,lr,guard_status
1,0.79188293,1.30474835,9.900000000000001e-05,ok
2,0.72274894,1.00751426,9.801e-05,ok
3,0.6476972,0.75597191,9.70299e-05,ok
4,0.59566223,0.6722169,9.605960100000001e-05,ok
5,0.54917109,0.57691096,9.509900499000001e-05,ok
6,0.48963487,0.49956748,9.414801494010001e-05,ok
7,0.4570405,0.45779907,9.320653479069902e-05,ok
8,0.43538489,0.42625792,9.227446944279203e-05,ok
9,0.41836629,0.40530202,9.13517247483641e-05,ok
10,0.40619547,0.38995411,9.043820750088047e-05,ok
11,0.39691069,0.37929082,8.953382542587167e-05,ok
12,0.38914743,0.37023878,8.863848717161295e-05,ok
13,0.38319444,0.3644545,8.775210229989682e-05,ok
14,0.37874006,0.35924071,8.687458127689785e-05,ok
15,0.37495045,0.35509326,8.600583546412887e-05,ok
16,0.37156512,0.35066642,8.514577710948758e-05,ok
17,0.36855444,0.34816271,8.429431933839271e-05,ok
18,0.36583791,0.34570608,8.345137614500879e-05,ok
19,0.36336867,0.3427239,8.26168623835587e-05,ok
20,0.36112566,0.34025985,8.17906937597231e-05,ok
21,0.35903899,0.33824263,8.097278682212587e-05,ok
22,0.35712912,0.3361712,8.016305895390461e-05,ok
23,0.35522549,0.33459909,7.936142836436556e-05,ok
24,0.35335939,0.33248124,7.856781408072191e-05,ok
25,0.35152306,0.33025685,7.778213593991469e-05,ok
26,0.34972762,0.32830831,7.700431458051554e-05,ok
27,0.34796646,0.32704987,7.623427143471038e-05,ok
28,0.34631724,0.32505072,7.547192872036328e-05,ok
29,0.34473126,0.32348486,7.471720943315964e-05,ok
30,0.34320883,0.32198752,7.397003733882805e-05,ok
31,0.34183691,0.32094099,7.323033696543977e-05,ok
32,0.34050967,0.3188514,7.249803359578537e-05,ok
33,0.33924293,0.31806436,7.177305325982752e-05,ok
34,0.33808002,0.31668169,7.105532272722923e-05,ok
35,0.33693678,0.31577963,7.034476949995695e-05,ok
36,0.33587171,0.31419821,6.964132180495738e-05,ok
37,0.33480159,0.31329671,6.89449085869078e-05,ok
38,0.33383505,0.31187336,6.825545950103872e-05,ok
39,0.33286158,0.31132988,6.757290490602833e-05,ok
40,0.33193196,0.31039529,6.689717585696805e-05,ok
41,0.33104456,0.30902133,6.622820409839837e-05,ok
42,0.33020847,0.30884732,6.556592205741439e-05,ok
43,0.32933898,0.30803745,6.491026283684025e-05,ok
44,0.32855716,0.30715091,6.426116020847184e-05,ok
45,0.32775731,0.30606716,6.361854860638712e-05,ok
46,0.32700555,0.30548389,6.298236312032325e-05,ok
47,0.3262772,0.30452965,6.235253948912002e-05,ok
48,0.32553185,0.30356207,6.172901409422881e-05,ok
49,0.32483162,0.30327759,6.111172395328652e-05,ok
50,0.32415108,0.30231407,6.050060671375366e-05,ok
51,0.32346175,0.30196139,5.9895600646616125e-05,ok
52,0.32277912,0.30129337,5.9296644640149966e-05,ok
53,0.32217044,0.30047276,5.8703678193748465e-05,ok
54,0.32151876,0.29989054,5.811664141181098e-05,ok
55,0.32089173,0.29941627,5.753547499769287e-05,ok
56,0.32028825,0.29879388,5.696012024771594e-05,ok
57,0.31969314,0.29816412,5.639051904523878e-05,ok
58,0.31912972,0.2981131,5.5826613854786396e-05,ok
59,0.31850655,0.29708628,5.5268347716238534e-05,ok - 1
60,0.31792007,0.29649552,5.471566423907615e-05,ok
61,0.31736685,0.29604324,5.416850759668539e-05,ok
62,0.31682159,0.29541116,5.362682252071853e-05,ok
63,0.31629406,0.29509886,5.309055429551135e-05,ok
64,0.31575534,0.29443141,5.2559648752556236e-05,ok
65,0.31527557,0.29404064,5.203405226503067e-05,ok
66,0.31480734,0.29366917,5.1513711742380364e-05,ok
67,0.31435239,0.29303346,5.099857462495656e-05,ok
68,0.31389363,0.29278155,5.0488588878706996e-05,ok
69,0.31346343,0.29252469,4.9983702989919924e-05,ok
70,0.31306024,0.29186079,4.9483865960020725e-05,ok
71,0.31268959,0.29159798,4.898902730042052e-05,ok
72,0.31229214,0.2915204,4.8499137027416314e-05,ok
73,0.31193113,0.2907487,4.801414565714215e-05,ok - 1
74,0.3115549,0.29055438,4.753400420057073e-05,ok
75,0.31118224,0.28997157,4.705866415856502e-05,ok
76,0.31081054,0.28987505,4.658807751697937e-05,ok
77,0.31044987,0.28963391,4.6122196741809574e-05,ok - 1
78,0.3100983,0.28905995,4.566097477439148e-05,ok
79,0.30975932,0.28870162,4.520436502664756e-05,ok
80,0.30938699,0.28837899,4.475232137638109e-05,ok
81,0.30905392,0.2879045,4.430479816261728e-05,ok
82,0.30874561,0.28776536,4.3861750180991104e-05,ok
83,0.30838278,0.28738417,4.3423132679181194e-05,ok
84,0.30807227,0.28724233,4.298890135238938e-05,ok
85,0.30774325,0.2866749,4.255901233886549e-05,ok
86,0.307465,0.28641464,4.213342221547683e-05,ok
87,0.30715095,0.28617487,4.1712087993322064e-05,ok
88,0.30687602,0.2862436,4.1294967113388845e-05,ok
89,0.30658476,0.28580818,4.0882017442254956e-05,ok - 1
90,0.30632602,0.28576138,4.04731972678324e-05,ok
91,0.30609809,0.28523162,4.006846529515408e-05,ok - 1
92,0.30583749,0.28516424,3.966778064220254e-05,ok
93,0.30563272,0.28487876,3.927110283578051e-05,ok - 1
94,0.30541316,0.28448277,3.8878391807422704e-05,ok
95,0.30520776,0.28471677,3.8489607889348474e-05,ok
96,0.3050067,0.28448284,3.8104711810454986e-05,ok - 1
97,0.30479733,0.28375598,3.7723664692350434e-05,ok - 2
98,0.30459905,0.28416191,3.734642804542693e-05,ok
99,0.30442965,0.28378597,3.697296376497266e-05,ok - 1
100,0.30424531,0.2837584,3.660323412732293e-05,ok - 2
101,0.30409841,0.28354678,3.62372017860497e-05,ok - 3
102,0.30393204,0.28357509,3.5874829768189206e-05,ok
103,0.30377026,0.28343852,3.551608147050731e-05,ok - 1
104,0.30362066,0.28295859,3.516092065580224e-05,ok
105,0.3034415,0.28323994,3.480931144924422e-05,ok
106,0.3033011,0.28284982,3.4461218334751775e-05,ok - 1
107,0.30316955,0.28283491,3.4116606151404254e-05,ok
108,0.30301321,0.28242447,3.377544008989021e-05,ok - 1
109,0.30287108,0.28238827,3.343768568899131e-05,ok
110,0.30275617,0.28218705,3.31033088321014e-05,ok - 1
111,0.30260381,0.28225297,3.277227574378038e-05,ok
112,0.30246827,0.28222163,3.244455298634257e-05,ok - 1
113,0.3023574,0.28211836,3.2120107456479144e-05,ok - 2
114,0.30221466,0.28202639,3.179890638191435e-05,ok - 3
115,0.30210538,0.281743,3.1480917318095206e-05,ok
116,0.30197271,0.28144808,3.1166108144914254e-05,ok
117,0.30186037,0.28151072,3.085444706346511e-05,ok
118,0.301738,0.28140735,3.054590259283046e-05,ok - 1
119,0.30162865,0.28145083,3.0240443566902154e-05,ok - 2
120,0.30151384,0.28117537,2.9938039131233132e-05,ok - 3
121,0.30139643,0.28122792,2.96386587399208e-05,ok
122,0.30127775,0.28107018,2.9342272152521593e-05,ok - 1
123,0.30118881,0.28075699,2.9048849430996377e-05,ok
124,0.30107121,0.28071038,2.8758360936686414e-05,ok
125,0.3009848,0.28082263,2.847077732731955e-05,ok - 1
126,0.30086442,0.28091959,2.8186069554046354e-05,ok - 2
127,0.3007697,0.28064249,2.790420885850589e-05,ok - 3
128,0.30065235,0.28052612,2.762516676992083e-05,ok
129,0.30055417,0.28040165,2.7348915102221623e-05,ok
130,0.30045433,0.28027245,2.7075425951199406e-05,ok
131,0.30035791,0.2800139,2.680467169168741e-05,ok
132,0.30025879,0.28001456,2.653662497477054e-05,ok
133,0.30018071,0.28013659,2.6271258725022834e-05,ok - 1
134,0.30006007,0.27996017,2.6008546137772605e-05,ok - 2
135,0.29999579,0.27974495,2.574846067639488e-05,ok - 3
136,0.29988376,0.27969963,2.549097606963093e-05,ok
137,0.29980317,0.27955213,2.523606630893462e-05,ok - 1
138,0.29969955,0.27954747,2.4983705645845275e-05,ok
139,0.29961195,0.27947724,2.4733868589386822e-05,ok - 1
140,0.2995289,0.27950923,2.4486529903492954e-05,ok - 2
141,0.29943849,0.27944036,2.4241664604458026e-05,ok - 3
142,0.29936072,0.27923665,2.3999247958413444e-05,ok
143,0.29925238,0.2793579,2.375925547882931e-05,ok
144,0.29918367,0.27922143,2.3521662924041017e-05,ok - 1
145,0.29909947,0.27909684,2.3286446294800605e-05,ok - 2
146,0.29902535,0.27907616,2.30535818318526e-05,ok
147,0.29893594,0.27893045,2.2823046013534073e-05,ok - 1
148,0.29884937,0.27882154,2.259481555339873e-05,ok
149,0.2987683,0.27900376,2.2368867397864743e-05,ok
150,0.29870173,0.27874387,2.2145178723886096e-05,ok - 1
151,0.29860992,0.27875518,2.1923726936647233e-05,ok - 2
152,0.29854635,0.27845686,2.170448966728076e-05,ok - 3
153,0.29848354,0.27845568,2.1487444770607954e-05,ok
154,0.29839802,0.27841337,2.1272570322901873e-05,ok - 1
155,0.29831483,0.27828119,2.1059844619672853e-05,ok - 2
156,0.29825584,0.27837586,2.0849246173476125e-05,ok
157,0.29816864,0.27830433,2.0640753711741364e-05,ok - 1
158,0.29809476,0.27813591,2.043434617462395e-05,ok - 2
159,0.29802078,0.27819452,2.023000271287771e-05,ok
160,0.29795437,0.27810776,2.0027702685748933e-05,ok - 1
161,0.29789232,0.27802672,1.9827425658891444e-05,ok - 2
162,0.29781113,0.27807113,1.9629151402302528e-05,ok
163,0.29776715,0.27797396,1.94328598882795e-05,ok - 1
164,0.29767735,0.2779214,1.9238531289396705e-05,ok - 2
165,0.29761483,0.27813104,1.9046145976502736e-05,ok
166,0.29755417,0.2777636,1.885568451673771e-05,ok - 1
167,0.2974844,0.27769506,1.8667127671570333e-05,ok
168,0.29741828,0.2774919,1.848045639485463e-05,ok - 1
169,0.29735103,0.27760048,1.8295651830906085e-05,ok
170,0.29730489,0.27761549,1.8112695312597025e-05,ok - 1
171,0.29723112,0.27774007,1.7931568359471054e-05,ok - 2
172,0.29717686,0.27722275,1.7752252675876342e-05,ok - 3
173,0.29711157,0.27751668,1.7574730149117577e-05,ok
174,0.29704421,0.27732587,1.73989828476264e-05,ok - 1
175,0.29699415,0.27725159,1.7224993019150137e-05,ok - 2
176,0.29693081,0.27732553,1.7052743088958637e-05,ok - 3
177,0.29686972,0.27719244,1.688221565806905e-05,ok - 4
178,0.29681049,0.27710528,1.671339350148836e-05,ok - 5
179,0.2967575,0.27708773,1.6546259566473476e-05,ok
180,0.29669719,0.27698304,1.638079697080874e-05,ok - 1
181,0.29664341,0.27708521,1.6216989001100652e-05,ok
182,0.29659036,0.27661581,1.6054819111089644e-05,ok - 1
183,0.2965356,0.27696958,1.5894270919978746e-05,ok
184,0.29647996,0.27702194,1.573532821077896e-05,ok - 1
185,0.29642308,0.276821,1.557797492867117e-05,ok - 2
186,0.29637299,0.27676955,1.5422195179384457e-05,ok - 3
187,0.29631922,0.2767561,1.5267973227590614e-05,ok - 4
